Modèles globaux,Modèles régionaux,Date,Niv. réchauffement,Pts T>45,Pts T>50,T_max,Commentaire,,source :,https://www.drias-climat.fr/accompagnement/sections/405,,,
,,25-07-2086,>4.0°C,3353,350,52.5,,,,,,,
,,26-07-2086,>4.0°C,2522,5,50.2,,,,,,,
,,12-07-2093,>4.0°C,1995,1,50.6,,,,,,,
,,25-07-2093,>4.0°C,1932,10,50.4,,2 cas 2.7°C fiables,,,,,
,,14-08-2099,>4.0°C,485,2,50.2,,2 cas 4.0°C fiables,,,,,
,,29-07-2100,>4.0°C,2676,132,51.9,,Fiable à 100%,,,,,
IPSL-CM5A-MR,HIRHAM5,07-07-2085,>4.0°C,9,1,"50,3",explosion,,,,,,
,,08-07-2085,>4.0°C,1,1,"51,1",explosion,,,,,,
,,17-07-2085,>4.0°C,1307,154,54.6,54.6 avec 1300pts au dessus de 45 ??,,,,,,
,,18-07-2085,>4.0°C,2169,113,53.7,,,,,,,
,,26-07-2085,>4.0°C,60,1,51.9,explosion ,,,,,,
,,27-07-2085,>4.0°C,6,1,51.6,explosion ,,,,,,
,,28-06-2089,>4.0°C,383,1,50.5,peu de pts à 45 et Tx>50,,,,,,
,,29-06-2089,>4.0°C,335,6,50.8,peu de pts à 45 et Tx>50,,,,,,
,,30-07-2094,>4.0°C,166,3,50.2,peu de pts à 45 et Tx>50,,,,,,
,,19-09-2097,>4.0°C,134,3,50.7,peu de pts à 45 et Tx>50,,,,,,
,,26-06-2098,>4.0°C,1,1,50.1,explosion,,,,,,
,,30-07-2098,>4.0°C,31,1,50.3,explosion,,,,,,
,,07-08-2098,>4.0°C,1070,6,50.7,,,,,,,
,,25-08-2098,>4.0°C,252,24,52.2,peu de pts à 45 et Tx>50,,,,,,
,,22-06-2100,>4.0°C,278,2,50.3,peu de pts à 45 et Tx>50,,,,,,
,,25-06-2100,>4.0°C,225,4,50.6,peu de pts à 45 et Tx>50,,,,,,
,,26-06-2100,>4.0°C,106,3,51.2,peu de pts à 45 et Tx>50,Fiable à 12%,,,,,
,RCA4,18-07-2076,4.0°Cp,338,4,50.4,peu de pts à 45 et Tx>50,,,,,,
,,23-07-2077,4.0°C,1212,4,50.1,,,,,,,
,,17-08-2077,4.0°Cp,1,1,50.2,explosion,,,,,,
,,28-07-2082,>4.0°C,2072,23,51.0,,,,,,,
,,16-07-2085,>4.0°C,4651,321,51.9,,,,,,,
,,17-07-2085,>4.0°C,5527,1319,53.4,,,,,,,
,,18-07-2085,>4.0°C,5724,1896,54.8,très chaud,1 cas 4.0°C fiable,,,,,
,,12-07-2097,>4.0°C,425,2,51.2,,Fiable à 75%,,,,,
HadGEM2-ES,ALADIN63,04-07-2077,>4.0°C,1160,2,50.5,,,,,,,
,,05-07-2077,>4.0°C,1338,9,50.9,,,,,,,
,,13-07-2079,>4.0°C,1344,2,51.0,,,,,,,
,,15-08-2090,>4.0°C,2895,10,50.4,,,,,,,
,,21-07-2093,>4.0°C,1253,1,50.1,,,,,,,
,,22-07-2093,>4.0°C,4110,358,52.0,,,,,,,
,,23-07-2093,>4.0°C,970,1,50.3,,,,,,,
,,24-07-2093,>4.0°C,259,4,50.6,,,,,,,
